Step :151, avg score : -93.55503845214844, avg_cover_radius :  87.84, avg_sent_package:  41.03
Step :152, avg score : -113.30927276611328, avg_cover_radius :  86.16, avg_sent_package:  52.38
Step :153, avg score : -101.83851623535156, avg_cover_radius :  86.33, avg_sent_package:  46.51
Step :154, avg score : -149.39089965820312, avg_cover_radius :  84.44, avg_sent_package:  54.29
Step :155, avg score : -120.19144439697266, avg_cover_radius :  82.34, avg_sent_package:  60.00
Step :156, avg score : -80.99889373779297, avg_cover_radius :  82.50, avg_sent_package:  39.13
Step :157, avg score : -83.38026428222656, avg_cover_radius :  81.98, avg_sent_package:  39.13
Step :158, avg score : -117.568359375, avg_cover_radius :  85.30, avg_sent_package:  60.00
Step :159, avg score : -166.3278045654297, avg_cover_radius :  88.12, avg_sent_package:  70.73
Step :160, avg score : -89.6705322265625, avg_cover_radius :  89.54, avg_sent_package:  47.62
Step :161, avg score : -90.40431213378906, avg_cover_radius :  88.45, avg_sent_package:  42.50
Step :162, avg score : -96.34664154052734, avg_cover_radius :  86.78, avg_sent_package:  51.06
Step :163, avg score : -86.34431457519531, avg_cover_radius :  87.21, avg_sent_package:  40.91
Step :164, avg score : -112.06208038330078, avg_cover_radius :  85.67, avg_sent_package:  42.86
Step :165, avg score : -155.33428955078125, avg_cover_radius :  85.86, avg_sent_package:  58.33
Step :166, avg score : -108.94532775878906, avg_cover_radius :  85.70, avg_sent_package:  45.00
Step :167, avg score : -86.72142028808594, avg_cover_radius :  84.04, avg_sent_package:  46.15
Step :168, avg score : -99.26910400390625, avg_cover_radius :  83.03, avg_sent_package:  48.94
Step :169, avg score : -120.62124633789062, avg_cover_radius :  84.53, avg_sent_package:  58.70
Step :170, avg score : -114.78282165527344, avg_cover_radius :  85.50, avg_sent_package:  54.76
Step :171, avg score : -100.88604736328125, avg_cover_radius :  84.38, avg_sent_package:  60.00
Step :172, avg score : -87.43768310546875, avg_cover_radius :  81.47, avg_sent_package:  40.00
Step :173, avg score : -186.3800811767578, avg_cover_radius :  84.72, avg_sent_package:  63.64
Step :174, avg score : -144.95437622070312, avg_cover_radius :  87.22, avg_sent_package:  64.29
Step :175, avg score : -140.56346130371094, avg_cover_radius :  86.93, avg_sent_package:  67.39
Step :176, avg score : -75.94900512695312, avg_cover_radius :  88.22, avg_sent_package:  52.63
Step :177, avg score : -77.57052612304688, avg_cover_radius :  88.03, avg_sent_package:  48.98
Step :178, avg score : -76.67977142333984, avg_cover_radius :  89.70, avg_sent_package:  50.00
Step :179, avg score : -87.0618896484375, avg_cover_radius :  88.57, avg_sent_package:  45.00
Step :180, avg score : -104.21875762939453, avg_cover_radius :  87.82, avg_sent_package:  55.56
Step :181, avg score : -99.90171813964844, avg_cover_radius :  89.91, avg_sent_package:  56.25
Step :182, avg score : -123.3477554321289, avg_cover_radius :  87.86, avg_sent_package:  48.48
Step :183, avg score : -215.34988403320312, avg_cover_radius :  86.68, avg_sent_package:  66.67
Step :184, avg score : -130.93309020996094, avg_cover_radius :  83.85, avg_sent_package:  48.57
Step :185, avg score : -90.65504455566406, avg_cover_radius :  82.24, avg_sent_package:  49.09
Step :186, avg score : -123.42510986328125, avg_cover_radius :  85.06, avg_sent_package:  63.46
Step :187, avg score : -81.16167449951172, avg_cover_radius :  84.42, avg_sent_package:  48.00
Step :188, avg score : -75.71414184570312, avg_cover_radius :  84.37, avg_sent_package:  40.43
Step :189, avg score : -135.97671508789062, avg_cover_radius :  85.00, avg_sent_package:  65.22
Step :190, avg score : -67.56078338623047, avg_cover_radius :  87.29, avg_sent_package:  45.61
Step :191, avg score : -91.66521453857422, avg_cover_radius :  87.56, avg_sent_package:  51.11
Step :192, avg score : -102.44336700439453, avg_cover_radius :  87.65, avg_sent_package:  51.22
Step :193, avg score : -115.91033935546875, avg_cover_radius :  90.57, avg_sent_package:  58.14
Step :194, avg score : -96.60357666015625, avg_cover_radius :  90.89, avg_sent_package:  58.82
Step :195, avg score : -81.45552062988281, avg_cover_radius :  90.12, avg_sent_package:  40.00
Step :196, avg score : -120.68355560302734, avg_cover_radius :  90.94, avg_sent_package:  56.41
Step :197, avg score : -99.8814697265625, avg_cover_radius :  92.18, avg_sent_package:  51.16
Step :198, avg score : -129.4869384765625, avg_cover_radius :  92.30, avg_sent_package:  63.64
Step :199, avg score : -92.82926940917969, avg_cover_radius :  91.84, avg_sent_package:  56.25
Step :200, avg score : -108.5695571899414, avg_cover_radius :  91.07, avg_sent_package:  53.85
Step :201, avg score : -138.6112060546875, avg_cover_radius :  89.09, avg_sent_package:  58.33
Step :202, avg score : -153.95553588867188, avg_cover_radius :  87.78, avg_sent_package:  64.10
Step :203, avg score : -129.84461975097656, avg_cover_radius :  83.50, avg_sent_package:  45.16
Step :204, avg score : -167.89315795898438, avg_cover_radius :  83.07, avg_sent_package:  61.11
Step :205, avg score : -97.31407928466797, avg_cover_radius :  84.10, avg_sent_package:  47.92
Step :206, avg score : -111.73623657226562, avg_cover_radius :  83.20, avg_sent_package:  50.00
Step :207, avg score : -107.95856475830078, avg_cover_radius :  84.19, avg_sent_package:  51.11
Step :208, avg score : -78.45823669433594, avg_cover_radius :  84.14, avg_sent_package:  50.00
Step :209, avg score : -85.08159637451172, avg_cover_radius :  85.48, avg_sent_package:  46.81
Step :210, avg score : -116.25804901123047, avg_cover_radius :  85.81, avg_sent_package:  52.63
