
Step :3425, avg score : -0.9, avg_cover_radius :  95.25, avg_sent_package:  50.50
Step :3450, avg score : -1.1, avg_cover_radius :  94.41, avg_sent_package:  49.92
Step :3475, avg score : -1.2, avg_cover_radius :  92.86, avg_sent_package:  50.29
Step :3500, avg score : -1.1, avg_cover_radius :  93.72, avg_sent_package:  49.67
Step :3525, avg score : -0.9, avg_cover_radius :  96.48, avg_sent_package:  50.20
Step :3550, avg score : -1.1, avg_cover_radius :  94.43, avg_sent_package:  50.16
Step :3575, avg score : -1.8, avg_cover_radius :  88.26, avg_sent_package:  50.12
Step :3600, avg score : -1.2, avg_cover_radius :  93.37, avg_sent_package:  49.74
Step :3625, avg score : -1.5, avg_cover_radius :  92.40, avg_sent_package:  49.75
Step :3650, avg score : -1.2, avg_cover_radius :  94.86, avg_sent_package:  50.55
Step :3675, avg score : -1.0, avg_cover_radius :  94.86, avg_sent_package:  50.75
Step :3700, avg score : -1.1, avg_cover_radius :  94.96, avg_sent_package:  50.33
Step :3725, avg score : -1.2, avg_cover_radius :  93.70, avg_sent_package:  50.36
Step :3750, avg score : -1.2, avg_cover_radius :  93.75, avg_sent_package:  50.51
Step :3775, avg score : -1.2, avg_cover_radius :  91.91, avg_sent_package:  49.95
Step :3800, avg score : -0.9, avg_cover_radius :  95.91, avg_sent_package:  50.32
Step :3825, avg score : -1.3, avg_cover_radius :  94.03, avg_sent_package:  49.66
Step :3850, avg score : -1.2, avg_cover_radius :  94.76, avg_sent_package:  49.93
Step :3875, avg score : -1.0, avg_cover_radius :  94.89, avg_sent_package:  50.26
Step :3900, avg score : -0.9, avg_cover_radius :  96.13, avg_sent_package:  50.65
Step :3925, avg score : -1.1, avg_cover_radius :  93.33, avg_sent_package:  50.21
Step :3950, avg score : -1.0, avg_cover_radius :  94.05, avg_sent_package:  50.91
Step :3975, avg score : -1.0, avg_cover_radius :  94.39, avg_sent_package:  49.71
Step :4000, avg score : -1.2, avg_cover_radius :  89.88, avg_sent_package:  49.66
Step :4025, avg score : -1.1, avg_cover_radius :  93.78, avg_sent_package:  50.06
Step :4050, avg score : -0.9, avg_cover_radius :  95.65, avg_sent_package:  50.42
Step :4075, avg score : -1.0, avg_cover_radius :  96.06, avg_sent_package:  49.99
Step :4100, avg score : -0.9, avg_cover_radius :  96.13, avg_sent_package:  49.59
Step :4125, avg score : -1.2, avg_cover_radius :  93.21, avg_sent_package:  49.03
Step :4150, avg score : -1.3, avg_cover_radius :  92.74, avg_sent_package:  50.08
Step :4175, avg score : -1.0, avg_cover_radius :  93.69, avg_sent_package:  49.29
Step :4200, avg score : -1.4, avg_cover_radius :  90.98, avg_sent_package:  50.42
Step :4225, avg score : -1.0, avg_cover_radius :  94.46, avg_sent_package:  51.43
Step :4250, avg score : -1.2, avg_cover_radius :  93.02, avg_sent_package:  49.46
Step :4275, avg score : -1.1, avg_cover_radius :  94.14, avg_sent_package:  51.10
Step :4300, avg score : -1.1, avg_cover_radius :  94.33, avg_sent_package:  49.74
Step :4325, avg score : -1.2, avg_cover_radius :  92.38, avg_sent_package:  49.06
Step :4350, avg score : -0.8, avg_cover_radius :  96.27, avg_sent_package:  49.60
Step :4375, avg score : -1.0, avg_cover_radius :  93.69, avg_sent_package:  50.25
Step :4400, avg score : -1.0, avg_cover_radius :  95.28, avg_sent_package:  50.46
Step :4425, avg score : -1.1, avg_cover_radius :  95.36, avg_sent_package:  50.35
Step :4450, avg score : -1.1, avg_cover_radius :  94.57, avg_sent_package:  50.03
Step :4475, avg score : -1.0, avg_cover_radius :  94.04, avg_sent_package:  48.86
Step :4500, avg score : -1.0, avg_cover_radius :  94.22, avg_sent_package:  50.32
Step :4525, avg score : -1.0, avg_cover_radius :  95.00, avg_sent_package:  51.24
Step :4550, avg score : -1.3, avg_cover_radius :  90.84, avg_sent_package:  49.48
Step :4575, avg score : -1.1, avg_cover_radius :  92.72, avg_sent_package:  50.13
Step :4600, avg score : -1.1, avg_cover_radius :  96.00, avg_sent_package:  49.96
Step :4625, avg score : -1.7, avg_cover_radius :  89.95, avg_sent_package:  50.55
Step :4650, avg score : -1.2, avg_cover_radius :  93.53, avg_sent_package:  49.58
Step :4675, avg score : -1.1, avg_cover_radius :  93.66, avg_sent_package:  49.49
